key,value
data:1007094230327500910,"{""st"":1,""cl"":null,""ls"":[""th""],""fc"":[""948972004323782746"",""1007094124744294462"",""1007094026660495430"",""1007093908041375784""]}"
data:1007094494421848134,"{""st"":1,""cl"":""en"",""ls"":[""es""],""fc"":[""949099352058638386"",""1007094538592079882"",""1007094509596835840"",""1007094523375145053""]}"
data:1007094509596835840,"{""st"":1,""cl"":""en"",""ls"":[""ru""],""fc"":[""949099352058638386"",""1007094494421848134"",""1007094538592079882"",""1007094523375145053""]}"
data:1007094523375145053,"{""st"":1,""cl"":""en"",""ls"":[""fr""],""fc"":[""949099352058638386"",""1007094509596835840"",""1007094494421848134"",""1007094538592079882""]}"
data:1007094538592079882,"{""st"":1,""cl"":""en"",""ls"":[""th""],""fc"":[""949099352058638386"",""1007094523375145053"",""1007094509596835840"",""1007094494421848134""]}"
data:1007254606767718500,"{""st"":1,""cl"":null,""ls"":[""th"",""pt"",""es"",""ru"",""ms"",""lo"",""id"",""ja"",""ko"",""hi"",""fr"",""en"",""zh-TW"",""zh-CN"",""my"",""bn"",""ar""],""fc"":[]}"
data:1007464951427891271,"{""st"":1,""cl"":null,""ls"":[""en"",""fr""],""fc"":[]}"
data:1007802691558318121,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""1007803057515536445"",""1007803281709473842"",""1007803459766071378"",""1007803732270006352"",""1007814478617915482""]}"
data:1007803057515536445,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[""1007803732270006352"",""1007802691558318121"",""1007803281709473842"",""1007803459766071378"",""1007814478617915482""]}"
data:1007803281709473842,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""1007803732270006352"",""1007802691558318121"",""1007803057515536445"",""1007803281709473842"",""1007814478617915482""]}"
data:1007803459766071378,"{""st"":1,""cl"":null,""ls"":[""no""],""fc"":[""1007803732270006352"",""1007802691558318121"",""1007803057515536445"",""1007803281709473842"",""1007814478617915482""]}"
data:1007803732270006352,"{""st"":1,""cl"":null,""ls"":[""ar""],""fc"":[""1007802691558318121"",""1007803057515536445"",""1007803281709473842"",""1007803459766071378"",""1007814478617915482""]}"
data:1007811487676497960,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""965645501984817252""]}"
data:1007814478617915482,"{""st"":1,""cl"":""en"",""ls"":[""nl""],""fc"":[""1007803732270006352"",""1007802691558318121"",""1007803057515536445"",""1007803281709473842"",""1007803459766071378""]}"
data:1008764890527301672,"{""st"":1,""cl"":null,""ls"":[""fr"",""en""],""fc"":[]}"
data:1008787150424252516,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1007464951427891271""]}"
data:679702274741633064,"{""st"":1,""cl"":""en"",""ls"":[""en"",""id""],""fc"":[]}"
data:696870305364443177,"{""st"":1,""cl"":null,""ls"":[""en"",""pt""],""fc"":[]}"
data:713782193830494228,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:769923814590513183,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""837328109652934736""]}"
data:771728039017054259,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""926216445690519662""]}"
data:787325906427183115,"{""st"":1,""cl"":""en"",""ls"":[""pt"",""en""],""fc"":[]}"
data:792844869827035187,"{""st"":1,""cl"":null,""ls"":[],""fc"":[]}"
data:800172949494562816,"{""st"":1,""cl"":null,""ls"":[],""fc"":[]}"
data:801117290904420364,"{""st"":1,""cl"":null,""ls"":[""en"",""es""],""fc"":[]}"
data:804397666141732985,"{""st"":1,""cl"":null,""ls"":[""en"",""es""],""fc"":[]}"
data:812578507808964680,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""939262768132026430""]}"
data:821358722232090624,"{""st"":1,""cl"":""en"",""ls"":[""en"",""es""],""fc"":[]}"
data:837328109652934736,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[]}"
data:837705940832354324,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[""956974878907572275""]}"
data:842672082486820924,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[""956974488455626802""]}"
data:847504127453167646,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
